Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4
6761945,389881,426268,2,7/6/2019,21:3,A,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,27,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6781836,414635,422712,2,7/8/2019,20:27,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,19,Car,Driver or rider,Slight,Male,25,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6790856,413523,420614,2,7/9/2019,13:18,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,81,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67B1142,416309,424137,2,7/11/2019,15:13,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,25,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67B1325,410046,423303,2,7/11/2019,16:22,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,26,Pedal cycle,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67B1712,408164,427574,2,7/11/2019,19:04,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,3,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67C0218,411025,419630,2,7/12/2019,4:5,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67C1738,405419,419813,2,7/12/2019,19:02,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,25,Car,Driver or rider,Slight,Male,53,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67D0909,413653,426162,2,7/13/2019,13:25,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,49,Motorcycle over 500cc,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
67D1295,399768,427251,2,7/13/2019,16:38,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,46,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
